specialpage: specialpages
change: changes
langlink: langlinks
pin: pinned
indicator: indicators
head: heading
catlink: catlinks
expand: expanding expanded
recentchangeslinke: recentchangeslinked
load: loaded
contribution: contributions
ressource: ressources
reduce: reduced
voyageur: voyageurs
associate: associated
structure: structured
recentchange: recentchanges
hide: hidden
power: powered
plainlink: plainlinks
collapse: collapsed collapses
statistic: statistics
place: places
passenger: passengers
follow: following
revision: revisions
edit: edited editing
sentence: sentences
encourage: encouraged
control: controls
log: logged
source: sources
creativecommon: creativecommons
editor: editors
exist: exists
host: hosted
visit: visited
contain: containing
complication: complications
robot: robots
disclaimer: disclaimers
project: projects
open: opened
event: events
article: articles
retrieve: retrieved
guide: guides
charle: charles
improvement: improvements
relate: related
sitelink: sitelinks
common: commons
service: services
param: params
option: options
aubervillier: aubervilliers
reference: references
mycontribution: mycontributions
otherproject: otherprojects
locate: located
language: languages
content: contents
firstheade: firstheading
register: registered
donate: donating
photo: photos
unpin: unpinned
parse: parsed
select: selected
second: seconds
currentevent: currentevents
enable: enabled
category: categories
station: stations
trigger: triggered
browse: browsing
link: linked
caction: cactions
render: rendering
developer: developers
decode: decoding
suburb: suburbs
fressource: fressources
high: highest
resourceloaderdynamicstyle: resourceloaderdynamicstyles
namespace: namespaces
unporte: unported
variant: variants
image: images
entity: entities
license: licenses
precede: preceding
cache: cached
coordinate: coordinates
